측정소명,측정날짜,SO2(ppm),NO2(ppm),CO(ppm),O3(ppm),PM10(㎍/㎥),PM25(㎍/㎥)
단대동,20230810,0.0012,0.0066,0.32,0.0358,4,1
복정동,20230810,0.0015,0.0069,0.3,0.0337,7,2
상대원동,20230810,0.0013,0.0106,0.29,0.0313,2,0
성남대로,20230810,0.001,0.018,0.35,0.0231,6,0
운중동,20230810,0.0009,0.0049,0.19,0.0374,4,1
수내동,20230810,0.0012,0.0095,0.42,0.0326,3,2
정자동,20230810,0.0013,0.0055,0.3,0.0368,3,1
단대동,20230809,0.0011,0.0045,0.35,0.0204,7,3
복정동,20230809,0.0012,0.0056,0.35,0.0185,11,3
상대원동,20230809,0.0015,0.007,0.27,0.0173,6,2
성남대로,20230809,0.001,0.0145,0.33,0.014,13,2
운중동,20230809,0.001,0.0089,0.32,0.0184,9,2
수내동,20230809,0.0009,0.0076,0.44,0.0177,5,3
정자동,20230809,0.0013,0.0024,0.27,0.022,7,3
단대동,20230808,0.0011,0.0042,0.35,0.0233,7,2
복정동,20230808,0.0015,0.0037,0.34,0.0235,12,4
상대원동,20230808,0.0016,0.009,0.27,0.0186,7,2
성남대로,20230808,0.001,0.0125,0.33,0.0173,10,1
운중동,20230808,0.0009,0.0058,0.32,0.0228,5,2
수내동,20230808,0.0011,0.0071,0.42,0.0235,10,5
정자동,20230808,0.0013,0.0023,0.25,0.0283,6,3
단대동,20230807,0.0012,0.0055,0.4,0.0269,11,6
복정동,20230807,0.0035,0.0063,0.41,0.024,16,7
상대원동,20230807,0.0016,0.0102,0.31,0.0212,10,5
성남대로,20230807,0.001,0.0126,0.34,0.0204,14,4
운중동,20230807,0.001,0.0078,0.4,0.0257,14,5
수내동,20230807,0.0012,0.0084,0.45,0.0254,15,8
정자동,20230807,0.0013,0.0033,0.3,0.0261,10,6
단대동,20230806,0.0014,0.0104,0.45,0.0323,19,9
복정동,20230806,0.0013,0.0098,0.44,0.0325,23,11
상대원동,20230806,0.0016,0.0118,0.34,0.0299,17,10
성남대로,20230806,0.0014,0.0209,0.43,0.0267,23,8
운중동,20230806,0.0011,0.0094,0.44,0.0351,19,11
수내동,20230806,0.0012,0.0152,0.55,0.0294,23,12
정자동,20230806,0.0013,0.0072,0.37,0.0295,16,13
단대동,20230805,0.0018,0.0136,0.42,0.0357,27,12
복정동,20230805,0.0033,0.0144,0.42,0.0347,27,12
상대원동,20230805,0.002,0.0188,0.35,0.0295,20,12
성남대로,20230805,0.0019,0.0229,0.43,0.0273,25,11
운중동,20230805,0.0015,0.0113,0.35,0.0323,17,11
수내동,20230805,0.0018,0.014,0.48,0.0325,26,13
정자동,20230805,0.0017,0.0113,0.34,0.0323,18,13
단대동,20230804,0.002,0.0184,0.44,0.0259,25,12
복정동,20230804,0.0021,0.0171,0.43,0.0242,25,11
상대원동,20230804,0.0021,0.0236,0.35,0.0213,20,11
성남대로,20230804,0.0024,0.0282,0.45,0.0167,25,9
운중동,20230804,0.0018,0.0125,0.4,0.0271,16,11
수내동,20230804,0.002,0.0174,0.48,0.0249,22,14
정자동,20230804,0.0019,0.0122,0.4,0.0278,17,13
단대동,20230803,0.002,0.016,0.41,0.0207,23,12
복정동,20230803,0.003,0.0149,0.4,0.0228,23,11
상대원동,20230803,0.002,0.0213,0.31,0.0166,18,11
성남대로,20230803,0.0024,0.0241,0.4,0.0155,22,10
운중동,20230803,0.0016,0.0101,0.29,0.0198,16,10
수내동,20230803,0.0018,0.0158,0.45,0.0264,22,14
정자동,20230803,0.0017,0.0102,0.42,0.0282,22,12
단대동,20230802,0.0017,0.0173,0.51,0.0383,39,22
복정동,20230802,0.0033,0.0213,0.48,0.0321,39,19
상대원동,20230802,0.0018,0.029,0.43,0.0287,33,22
성남대로,20230802,0.0023,0.034,0.48,0.0232,40,18
운중동,20230802,0.0015,0.0106,0.31,0.036,29,18
수내동,20230802,0.0013,0.0182,0.56,0.0351,37,23
정자동,20230802,0.0015,0.0127,0.52,0.0363,27,21
단대동,20230801,0.0017,0.0125,0.49,0.059,34,19
복정동,20230801,0.0016,0.0133,0.47,0.0576,37,18
상대원동,20230801,0.0016,0.026,0.39,0.044,29,18
성남대로,20230801,0.0017,0.0273,0.44,0.044,35,16
운중동,20230801,0.0013,0.0088,0.41,0.0547,29,18
수내동,20230801,0.0015,0.0139,0.55,0.0572,37,21
정자동,20230801,0.0014,0.0072,0.5,0.061,25,22
단대동,20230731,0.0015,0.0142,0.5,0.0481,33,19
복정동,20230731,0.0035,0.0153,0.45,0.0459,34,17
상대원동,20230731,0.0019,0.0244,0.41,0.038,29,18
성남대로,20230731,0.0019,0.0289,0.47,0.0343,34,17
운중동,20230731,0.0017,0.0092,0.36,0.0492,26,17
수내동,20230731,0.0019,0.0164,0.55,0.0502,,23
정자동,20230731,0.0016,0.0106,0.52,0.0536,28,22
단대동,20230730,0.0012,0.0087,0.41,0.0324,19,8
복정동,20230730,0.0024,0.0086,0.37,0.0314,19,8
상대원동,20230730,0.0016,0.0092,0.28,0.0299,12,7
성남대로,20230730,0.002,0.0175,0.37,0.0243,17,6
운중동,20230730,0.0012,0.0048,0.28,0.034,14,9
수내동,20230730,0.001,0.0097,0.46,0.0312,,10
정자동,20230730,0.0014,0.004,0.41,0.0348,15,11
단대동,20230729,0.002,0.0103,0.43,0.0302,31,19
복정동,20230729,0.003,0.0115,0.43,0.0268,31,17
상대원동,20230729,0.0022,0.0128,0.31,0.0272,27,18
성남대로,20230729,0.0023,0.0185,0.4,0.0213,30,16
운중동,20230729,0.0019,0.0065,0.33,0.0283,27,16
수내동,20230729,0.0014,0.0102,0.47,0.0279,30,21
정자동,20230729,0.0019,0.0064,0.44,0.0298,25,18
단대동,20230728,0.0021,0.0131,0.45,0.0301,33,19
복정동,20230728,0.0029,0.0143,0.42,0.0268,35,18
상대원동,20230728,0.0024,0.0196,0.35,0.023,29,19
성남대로,20230728,0.0022,0.0242,0.44,0.0194,35,16
운중동,20230728,0.0021,0.0075,0.3,0.0268,27,16
수내동,20230728,0.002,0.0128,0.52,0.0255,33,21
정자동,20230728,0.0021,0.0076,0.46,0.0268,28,19
단대동,20230727,0.0016,0.0105,0.41,0.0298,20,10
복정동,20230727,0.0018,0.0098,0.4,0.0291,25,10
상대원동,20230727,0.0016,0.0155,0.32,0.0217,19,10
성남대로,20230727,0.0022,0.021,0.41,0.0193,24,8
운중동,20230727,0.0014,0.0075,0.28,0.0252,18,9
수내동,20230727,0.001,0.0118,0.48,0.0199,24,10
정자동,20230727,0.0011,0.0059,0.45,0.0192,19,11
단대동,20230726,0.0014,0.0103,0.4,0.016,13,6
복정동,20230726,0.0026,0.0084,0.38,0.0162,17,7
상대원동,20230726,0.0015,0.0133,0.32,0.0108,13,4
성남대로,20230726,0.002,0.0162,0.39,0.0109,16,4
운중동,20230726,0.0011,0.0061,0.27,0.0158,12,4
수내동,20230726,0.0009,0.0102,0.48,0.0133,13,6
정자동,20230726,0.0013,0.0055,0.43,0.016,13,5
단대동,20230725,0.0015,0.012,0.47,0.0208,20,7
