측정소명,측정날짜,SO2(ppm),NO2(ppm),CO(ppm),O3(ppm),PM10(㎍/㎥),PM25(㎍/㎥)
정자동,20191219,0.002,0.03,0.4,0.011,30,18
단대동,20191218,0.003,0.032,0.6,0.009,39,28
상대원동,20191218,,,,,,30
복정동,20191218,0.004,0.036,0.7,0.009,42,30
성남대로,20191218,0.004,0.045,0.8,0.007,48,33
수내동,20191218,0.003,0.035,0.6,0.007,45,31
운중동,20191218,0.003,0.028,0.6,0.01,46,29
정자동,20191218,,,,,,
단대동,20191217,0.002,0.031,0.6,0.012,27,15
상대원동,20191217,,,,,,19
복정동,20191217,0.004,0.036,0.7,0.009,29,20
성남대로,20191217,0.003,0.045,0.8,0.006,35,22
수내동,20191217,0.003,0.036,0.6,0.006,31,20
운중동,20191217,0.003,0.027,0.6,0.011,28,18
정자동,20191217,,,,,,
단대동,20191216,0.004,0.045,0.8,0.008,34,21
상대원동,20191216,,,,,,18
복정동,20191216,0.004,0.045,0.8,0.008,35,24
성남대로,20191216,0.005,0.063,1,0.005,52,31
수내동,20191216,0.004,0.041,0.7,0.004,38,24
운중동,20191216,0.004,0.039,0.7,0.005,40,21
정자동,20191216,0.003,0.041,0.9,0.005,44,27
단대동,20191215,0.003,0.037,0.7,0.01,34,24
상대원동,20191215,,,,,,23
복정동,20191215,0.004,0.038,0.8,0.01,37,26
성남대로,20191215,0.006,0.052,1,0.007,48,30
수내동,20191215,0.004,0.035,0.7,0.007,37,26
운중동,20191215,0.003,0.032,0.6,0.008,35,22
정자동,20191215,0.002,0.033,0.7,0.007,42,28
단대동,20191214,0.003,0.027,0.6,0.013,38,27
상대원동,20191214,,,,,,29
복정동,20191214,0.004,0.03,0.7,0.012,40,30
성남대로,20191214,0.005,0.043,0.8,0.008,49,34
수내동,20191214,0.004,0.033,0.7,0.009,44,31
운중동,20191214,0.004,0.028,0.6,0.011,44,26
정자동,20191214,0.004,0.031,0.6,0.01,52,32
단대동,20191213,0.003,0.04,0.6,0.005,26,16
상대원동,20191213,,,,,,17
복정동,20191213,0.005,0.046,0.6,0.006,28,16
성남대로,20191213,0.004,0.056,0.8,0.004,38,20
수내동,20191213,0.004,0.039,0.5,0.004,28,16
운중동,20191213,0.004,0.035,0.5,0.006,26,13
정자동,20191213,0.003,0.04,0.5,0.005,29,16
단대동,20191212,0.003,0.026,0.5,0.012,20,13
상대원동,20191212,,,,,,12
복정동,20191212,0.004,0.031,0.5,0.013,22,14
성남대로,20191212,0.005,0.041,0.7,0.01,30,14
수내동,20191212,0.003,0.026,0.4,0.012,21,12
운중동,20191212,0.004,0.022,0.5,0.014,21,13
정자동,20191212,0.003,0.027,0.4,0.013,22,14
단대동,20191211,0.003,0.029,0.6,0.028,,53
상대원동,20191211,,,,,,50
복정동,20191211,0.003,0.034,0.7,0.025,71,53
성남대로,20191211,0.003,0.058,0.8,0.012,86,65
수내동,20191211,0.003,0.037,0.6,0.017,78,45
운중동,20191211,0.004,0.024,0.6,0.029,80,48
정자동,20191211,0.003,0.034,0.7,0.018,86,58
단대동,20191210,0.003,0.05,0.8,0.017,89,72
상대원동,20191210,,,,,,70
복정동,20191210,0.004,0.051,0.9,0.014,90,77
성남대로,20191210,0.004,0.082,1.1,0.005,110,89
수내동,20191210,0.004,0.055,0.9,0.006,93,65
운중동,20191210,0.004,0.044,0.7,0.013,98,60
정자동,20191210,0.003,0.052,0.9,0.008,113,77
단대동,20191209,0.004,0.044,0.7,0.008,,57
상대원동,20191209,,,,,,59
복정동,20191209,0.005,0.051,0.9,0.006,63,55
성남대로,20191209,0.004,0.062,1,0.004,77,62
수내동,20191209,0.004,0.049,0.7,0.002,67,54
운중동,20191209,0.005,0.046,0.7,0.004,65,44
정자동,20191209,0.003,0.047,0.8,0.004,79,57
단대동,20191208,0.004,0.051,1,0.004,56,50
상대원동,20191208,,,,,,46
복정동,20191208,0.004,0.06,1.2,0.005,61,49
성남대로,20191208,0.005,0.067,1.2,0.004,72,58
수내동,20191208,0.004,0.049,0.9,0.004,61,49
운중동,20191208,0.004,0.046,0.9,0.004,59,40
정자동,20191208,0.003,0.05,1.1,0.003,72,53
단대동,20191207,0.003,0.045,0.8,0.003,44,31
상대원동,20191207,,,,,,32
복정동,20191207,0.004,0.053,0.9,0.004,45,33
성남대로,20191207,0.005,0.057,1,0.003,54,37
수내동,20191207,0.004,0.045,0.7,0.003,48,31
운중동,20191207,0.005,0.044,0.8,0.003,49,30
정자동,20191207,0.003,0.045,0.9,0.003,52,32
단대동,20191206,0.003,0.027,0.5,0.013,30,14
상대원동,20191206,,,,,,15
복정동,20191206,0.003,0.035,0.6,0.011,34,16
성남대로,20191206,0.006,0.05,0.8,0.007,44,18
수내동,20191206,0.004,0.037,0.5,0.007,35,15
운중동,20191206,0.003,0.031,0.5,0.008,35,15
정자동,20191206,0.003,0.034,0.6,0.008,36,16
단대동,20191205,0.003,0.017,0.4,0.022,23,8
상대원동,20191205,,,,,,9
복정동,20191205,0.004,0.022,0.4,0.021,19,11
성남대로,20191205,0.004,0.037,0.6,0.013,31,10
수내동,20191205,0.004,0.022,0.4,0.018,27,11
운중동,20191205,0.005,0.017,0.4,0.02,23,10
정자동,20191205,0.003,0.02,0.5,0.019,24,10
단대동,20191204,0.003,0.032,0.6,0.012,29,14
상대원동,20191204,,,,,,15
복정동,20191204,0.004,0.041,0.6,0.01,32,16
성남대로,20191204,0.004,0.055,0.8,0.006,41,21
수내동,20191204,0.004,0.039,0.5,0.006,31,16
운중동,20191204,0.004,0.033,0.5,0.01,31,15
정자동,20191204,0.003,0.036,0.7,0.008,33,17
단대동,20191203,0.003,0.037,0.6,0.005,26,16
상대원동,20191203,,,,,,18
복정동,20191203,0.003,0.046,0.6,0.004,29,19
성남대로,20191203,0.004,0.051,0.8,0.003,37,22
수내동,20191203,0.004,0.039,0.6,0.003,28,17
운중동,20191203,0.004,0.034,0.5,0.005,28,15
정자동,20191203,0.003,0.039,0.8,0.004,32,19
단대동,20191202,0.003,0.021,0.4,0.02,22,11
상대원동,20191202,,,,,,12
복정동,20191202,0.004,0.025,0.5,0.021,26,12
성남대로,20191202,0.004,0.037,0.6,0.014,30,17
수내동,20191202,0.003,0.021,0.4,0.02,24,13
운중동,20191202,0.003,0.016,0.4,0.023,25,11
정자동,20191202,0.003,0.021,0.8,0.021,25,13
단대동,20191201,0.002,0.039,0.6,0.006,,38
상대원동,20191201,,,,,,38
복정동,20191201,0.004,0.048,0.8,0.005,,43
성남대로,20191201,0.004,0.051,0.9,0.004,,48
수내동,20191201,0.004,0.045,0.8,0.004,51,40
운중동,20191201,0.005,0.043,0.7,0.005,48,33
정자동,20191201,0.003,0.044,1.1,0.004,61,46
단대동,20191130,0.004,0.048,0.7,0.006,40,26
상대원동,20191130,,,,,,28
복정동,20191130,0.005,0.06,0.9,0.005,50,32
성남대로,20191130,0.005,0.07,1,0.004,55,37
수내동,20191130,0.005,0.048,0.7,0.005,41,27
운중동,20191130,0.006,0.044,0.6,0.007,40,22
정자동,20191130,0.004,0.049,1,0.005,46,28
단대동,20191129,0.004,0.041,0.7,0.006,49,25
상대원동,20191129,,,,,,25
복정동,20191129,0.005,0.049,0.8,0.006,54,29
성남대로,20191129,0.006,0.062,0.9,0.005,59,34
수내동,20191129,0.005,0.045,0.8,0.005,47,
운중동,20191129,0.005,0.04,0.6,0.006,47,20
정자동,20191129,0.003,0.045,1,0.005,51,26
단대동,20191128,0.003,0.031,0.6,0.008,36,20
상대원동,20191128,,,,,,21
복정동,20191128,0.005,0.038,0.7,0.007,42,21
성남대로,20191128,0.005,0.051,0.9,0.004,47,29
수내동,20191128,0.004,0.04,0.7,0.004,40,22
운중동,20191128,0.004,0.036,0.7,0.006,38,20
정자동,20191128,0.003,0.04,1,0.004,45,24
단대동,20191127,0.003,0.026,0.6,0.014,38,21
상대원동,20191127,,,,,,24
복정동,20191127,0.005,0.032,0.6,0.012,43,23
성남대로,20191127,0.005,0.044,0.8,0.007,47,30
수내동,20191127,0.004,0.034,0.6,0.009,41,24
운중동,20191127,0.004,0.028,0.6,0.012,43,21
정자동,20191127,0.003,0.032,1,0.01,48,25
단대동,20191126,0.003,0.036,0.7,0.006,30,19
상대원동,20191126,,,,,,18
복정동,20191126,0.005,0.039,0.7,0.006,32,19
성남대로,20191126,0.004,0.05,0.8,0.006,38,25
수내동,20191126,0.004,0.035,0.7,0.006,30,18
운중동,20191126,0.003,0.032,0.6,0.007,28,16
정자동,20191126,0.003,0.035,1,0.006,29,18
단대동,20191125,0.003,0.025,0.6,0.01,31,16
상대원동,20191125,,,,,,17
복정동,20191125,0.004,0.031,0.6,0.01,33,17
성남대로,20191125,0.004,0.036,0.8,0.009,37,21
수내동,20191125,0.004,0.027,0.6,0.009,30,15
운중동,20191125,0.003,0.024,0.6,0.011,30,15
정자동,20191125,,,,,,
단대동,20191124,0.003,0.029,0.7,0.011,26,14
상대원동,20191124,,,,,,15
복정동,20191124,0.002,0.039,0.9,0.009,34,18
성남대로,20191124,0.003,0.04,0.9,0.007,39,22
수내동,20191124,0.003,0.027,0.6,0.01,28,16
운중동,20191124,0.003,0.023,0.5,0.012,26,14
정자동,20191124,,,,,,
단대동,20191123,0.003,0.036,0.7,0.01,28,13
상대원동,20191123,,,,,,11
복정동,20191123,0.004,0.047,0.8,0.009,38,18
성남대로,20191123,0.002,0.055,1.1,0.006,47,26
수내동,20191123,0.005,0.038,0.8,0.006,36,18
운중동,20191123,0.005,0.033,0.5,0.007,28,12
정자동,20191123,,,,,,
단대동,20191122,0.004,0.042,0.7,0.009,42,18
상대원동,20191122,,,,,,18
복정동,20191122,0.005,0.051,0.9,0.008,50,22
성남대로,20191122,0.005,0.062,1.1,0.007,60,32
수내동,20191122,0.005,0.044,0.9,0.007,49,20
운중동,20191122,0.005,0.037,0.6,0.008,42,17
정자동,20191122,0.003,0.037,0.6,0.009,45,20
단대동,20191121,0.004,0.046,0.8,0.004,38,16
상대원동,20191121,,,,,,15
복정동,20191121,0.005,0.052,0.8,0.004,45,21
성남대로,20191121,0.005,0.056,1,0.003,50,26
수내동,20191121,0.004,0.04,0.7,0.005,37,18
운중동,20191121,0.005,0.04,0.6,0.005,40,15
정자동,20191121,0.003,0.038,0.5,0.007,37,19
단대동,20191120,0.003,0.029,0.5,0.013,24,10
상대원동,20191120,,,,,,11
복정동,20191120,0.005,0.038,0.6,0.012,33,13
성남대로,20191120,0.006,0.051,0.9,0.006,38,18
수내동,20191120,0.004,0.035,0.6,0.009,27,13
운중동,20191120,0.004,0.031,0.5,0.009,26,10
정자동,20191120,0.003,0.034,0.4,0.01,28,12
단대동,20191119,0.002,0.017,0.4,0.02,32,8
상대원동,20191119,,,,,,9
복정동,20191119,0.002,0.021,0.4,0.021,34,8
성남대로,20191119,0.004,0.03,0.6,0.014,37,12
수내동,20191119,0.003,0.023,0.4,0.016,33,10
운중동,20191119,0.003,0.017,0.4,0.019,34,9
정자동,20191119,0.002,0.02,,0.018,33,8
단대동,20191118,0.002,0.016,0.4,0.024,70,9
상대원동,20191118,,,,,,11
복정동,20191118,0.003,0.019,0.4,0.024,70,10
성남대로,20191118,0.003,0.028,0.5,0.017,66,12
수내동,20191118,0.003,0.016,0.4,0.023,72,10
운중동,20191118,0.003,0.012,0.4,0.025,74,9
정자동,20191118,,,,,,
단대동,20191117,0.002,0.029,0.7,0.015,25,15
상대원동,20191117,,,,,,12
복정동,20191117,0.003,0.038,0.8,0.008,29,16
성남대로,20191117,0.003,0.042,0.9,0.006,33,19
수내동,20191117,0.003,0.033,0.6,0.006,25,15
운중동,20191117,0.003,0.03,0.5,0.008,26,13
정자동,20191117,0.002,0.028,0.3,0.011,,14
단대동,20191116,0.003,0.036,0.6,0.003,31,16
상대원동,20191116,,,,,,18
복정동,20191116,0.004,0.042,0.8,0.004,32,22
성남대로,20191116,0.004,0.049,0.9,0.003,41,29
수내동,20191116,0.003,0.036,0.6,0.004,26,17
운중동,20191116,0.003,0.036,0.6,0.005,26,14
정자동,20191116,,,,,,
단대동,20191115,0.003,0.035,0.6,0.007,26,14
상대원동,20191115,,,,,,15
복정동,20191115,0.002,0.042,0.6,0.005,28,16
성남대로,20191115,0.003,0.046,0.7,0.003,32,19
수내동,20191115,0.003,0.037,0.6,0.003,25,14
운중동,20191115,0.003,0.034,0.5,0.007,24,11
정자동,20191115,0.002,0.038,0.4,0.005,25,14
단대동,20191114,0.002,0.019,0.3,0.021,20,4
상대원동,20191114,,,,,,5
복정동,20191114,0.001,0.024,0.3,0.02,24,
성남대로,20191114,0.003,0.032,0.5,0.015,31,9
수내동,20191114,0.003,0.021,0.3,0.018,21,6
운중동,20191114,0.003,0.018,0.4,0.02,24,6
정자동,20191114,0.002,0.017,,0.021,20,6
단대동,20191113,0.003,0.032,0.6,0.008,31,26
상대원동,20191113,,0.031,,0.006,,27
복정동,20191113,0.003,0.038,0.7,0.008,37,
성남대로,20191113,0.002,0.042,0.8,0.006,42,32
수내동,20191113,0.003,0.031,0.6,0.006,32,24
운중동,20191113,0.003,0.03,0.6,0.009,34,20
정자동,20191113,0.002,0.031,0.6,0.008,39,26
단대동,20191112,0.003,0.037,0.7,0.006,36,21
상대원동,20191112,,0.035,,0.005,,24
복정동,20191112,0.002,0.044,0.8,0.005,42,25
성남대로,20191112,0.004,0.053,0.9,0.003,49,30
수내동,20191112,0.004,0.038,0.7,0.003,38,19
운중동,20191112,0.004,0.035,0.6,0.006,39,19
정자동,20191112,0.002,0.036,0.6,0.005,42,22
단대동,20191111,0.002,0.025,0.6,0.024,26,11
상대원동,20191111,,0.032,,0.018,,16
복정동,20191111,0.002,0.027,0.7,0.022,28,15
성남대로,20191111,0.003,0.043,0.8,0.013,32,19
수내동,20191111,0.003,0.03,0.6,0.019,26,13
운중동,20191111,0.002,0.023,0.5,0.024,27,14
정자동,20191111,0.002,0.027,0.5,0.021,26,15
단대동,20191110,0.003,0.032,0.7,0.019,38,27
상대원동,20191110,,0.029,,0.017,,31
복정동,20191110,0.003,0.034,0.8,0.017,42,31
성남대로,20191110,0.003,0.043,0.8,0.011,47,37
수내동,20191110,0.004,0.033,0.6,0.013,37,27
운중동,20191110,0.003,0.028,0.6,0.018,36,21
정자동,20191110,0.003,0.029,0.5,0.017,40,29
단대동,20191109,0.004,0.046,0.7,0.009,44,21
상대원동,20191109,,0.047,,0.007,,23
복정동,20191109,0.004,0.051,0.9,0.009,48,27
성남대로,20191109,0.005,0.066,1,0.005,56,31
수내동,20191109,0.004,0.046,0.7,0.006,44,23
운중동,20191109,0.003,0.04,0.6,0.01,42,19
정자동,20191109,0.003,0.046,0.6,0.006,46,24
단대동,20191108,0.003,0.038,0.6,0.011,46,16
상대원동,20191108,,0.043,0.3,0.007,,20
복정동,20191108,0.005,0.042,0.7,0.009,46,20
성남대로,20191108,0.005,0.06,0.9,0.005,58,25
수내동,20191108,0.004,0.042,0.6,0.005,46,19
운중동,20191108,0.003,0.036,0.5,0.011,49,17
정자동,20191108,0.002,0.043,0.5,0.005,48,19
단대동,20191107,0.003,0.032,0.6,0.018,53,23
상대원동,20191107,,0.039,0.4,0.012,,25
복정동,20191107,0.005,0.036,0.6,0.016,,24
성남대로,20191107,0.004,0.053,0.8,0.01,60,31
수내동,20191107,0.004,0.039,0.6,0.012,48,22
운중동,20191107,0.004,0.03,0.5,0.02,52,21
정자동,20191107,0.002,0.033,0.4,0.017,47,23
단대동,20191106,0.003,0.038,0.7,0.018,47,34
상대원동,20191106,,0.044,0.5,0.011,,36
복정동,20191106,0.003,0.042,0.8,0.016,52,36
성남대로,20191106,0.004,0.059,0.9,0.007,59,46
수내동,20191106,0.005,0.041,0.7,0.011,47,31
운중동,20191106,0.004,0.038,0.7,0.013,47,28
정자동,20191106,0.003,0.04,0.6,0.011,56,35
단대동,20191105,0.002,0.042,0.7,0.011,37,17
상대원동,20191105,,0.043,0.6,0.008,,
복정동,20191105,0.005,0.047,0.7,0.012,41,21
성남대로,20191105,0.003,0.061,0.9,0.006,45,27
수내동,20191105,0.004,0.039,0.6,0.009,,17
운중동,20191105,,,,,,
정자동,20191105,0.002,0.038,0.5,0.012,34,19
단대동,20191104,0.002,0.03,0.5,0.013,15,5
상대원동,20191104,,,,,,
복정동,20191104,0.002,0.035,0.5,0.011,21,8
성남대로,20191104,0.004,0.051,0.7,0.006,28,13
수내동,20191104,0.003,0.03,0.5,0.008,,6
운중동,20191104,,,,,,
정자동,20191104,0.002,0.024,0.4,0.014,14,7
단대동,20191103,0.003,0.032,0.6,0.021,55,36
상대원동,20191103,,,,,,
복정동,20191103,0.004,0.028,0.6,0.02,55,32
성남대로,20191103,0.003,0.044,0.8,0.011,65,42
수내동,20191103,0.003,0.032,0.8,0.016,56,31
운중동,20191103,0.003,0.032,0.6,0.019,58,31
정자동,20191103,0.003,0.028,0.7,0.02,62,45
단대동,20191102,0.004,0.046,0.8,0.019,82,37
상대원동,20191102,,,,,,
복정동,20191102,0.004,0.046,0.9,0.017,85,38
성남대로,20191102,0.004,0.064,1,0.01,91,48
수내동,20191102,0.004,0.042,0.9,0.014,81,36
운중동,20191102,0.003,0.041,0.7,0.019,86,35
정자동,20191102,0.004,0.038,0.7,0.017,86,44
단대동,20191101,0.003,0.041,0.7,0.02,101,31
상대원동,20191101,,,,,,
복정동,20191101,0.003,0.043,0.8,0.016,103,31
성남대로,20191101,0.004,0.062,1,0.008,114,46
수내동,20191101,0.003,0.043,0.8,0.011,94,29
운중동,20191101,0.003,0.041,0.7,0.018,113,29
정자동,20191101,0.002,0.039,0.7,0.016,111,36
단대동,20191031,0.003,0.031,0.5,0.028,83,20
상대원동,20191031,0.003,0.034,0.6,0.02,91,21
복정동,20191031,0.001,0.032,0.6,0.027,89,21
성남대로,20191031,0.003,0.05,0.7,0.014,90,30
수내동,20191031,0.004,0.031,0.7,0.02,85,24
운중동,20191031,0.002,0.025,0.5,0.029,94,23
정자동,20191031,0.003,0.029,0.6,0.022,83,26
단대동,20191030,0.003,0.03,0.5,0.014,26,8
상대원동,20191030,0.003,0.034,0.6,0.011,30,8
복정동,20191030,0.003,0.033,0.5,0.013,29,10
성남대로,20191030,0.004,0.049,0.7,0.007,35,16
수내동,20191030,0.003,0.029,0.6,0.01,24,11
운중동,20191030,0.002,0.029,0.4,0.014,25,10
정자동,20191030,0.002,0.026,0.5,0.013,23,11
단대동,20191029,0.002,0.024,0.5,0.019,95,14
상대원동,20191029,0.003,0.029,0.6,0.013,98,15
복정동,20191029,0.003,0.025,0.5,0.017,95,14
성남대로,20191029,0.004,0.043,0.7,0.008,92,23
수내동,20191029,0.003,0.03,0.6,0.012,90,15
운중동,20191029,0.003,0.024,0.4,0.017,103,13
정자동,20191029,0.002,0.023,0.5,0.017,85,18
단대동,20191028,0.002,0.026,0.5,0.026,30,16
상대원동,20191028,0.003,0.028,0.6,0.021,33,18
복정동,20191028,0.002,0.027,0.6,0.023,33,17
성남대로,20191028,0.004,0.045,0.7,0.013,38,26
수내동,20191028,0.003,0.026,0.6,0.02,28,16
운중동,20191028,0.002,0.022,0.5,0.028,32,18
정자동,20191028,0.002,0.024,0.6,0.021,30,17
단대동,20191027,0.002,0.023,0.5,0.021,25,14
상대원동,20191027,0.003,0.026,0.6,0.017,27,13
복정동,20191027,0.004,0.028,0.6,0.017,29,14
성남대로,20191027,0.004,0.042,0.7,0.011,33,19
수내동,20191027,0.002,0.026,0.6,0.014,24,14
운중동,20191027,0.003,0.024,0.4,0.019,25,14
정자동,20191027,0.002,0.022,0.5,0.017,23,14
단대동,20191026,0.002,0.019,0.4,0.019,25,11
상대원동,20191026,0.002,0.023,0.6,0.017,29,13
복정동,20191026,0.002,0.021,0.4,0.018,27,13
성남대로,20191026,0.003,0.032,0.6,0.013,31,17
수내동,20191026,0.003,0.021,0.5,0.016,25,13
운중동,20191026,0.004,0.02,0.4,0.02,24,11
정자동,20191026,0.002,0.019,0.4,0.017,28,14
단대동,20191025,0.002,0.026,0.5,0.023,29,10
상대원동,20191025,0.003,0.032,0.6,0.019,35,12
복정동,20191025,0.001,0.028,0.5,0.021,31,12
성남대로,20191025,0.004,0.048,0.7,0.011,37,17
수내동,20191025,0.003,0.028,0.6,0.017,29,12
운중동,20191025,0.002,0.026,0.4,0.022,29,13
정자동,20191025,0.002,0.025,0.5,0.021,27,13
단대동,20191024,0.002,0.011,0.4,0.042,28,12
상대원동,20191024,0.002,0.022,0.6,0.029,31,13
복정동,20191024,0.002,0.017,0.5,0.033,30,14
성남대로,20191024,0.003,0.037,0.6,0.02,34,18
수내동,20191024,0.002,0.025,0.6,0.02,28,15
운중동,20191024,0.004,0.025,0.4,0.025,31,15
정자동,20191024,0.002,0.015,0.5,0.031,29,14
단대동,20191023,0.002,0.023,0.5,0.022,26,13
상대원동,20191023,0.002,0.028,0.6,0.016,25,12
복정동,20191023,0.002,0.027,0.6,0.018,32,15
성남대로,20191023,0.002,0.044,0.7,0.009,34,19
수내동,20191023,0.003,0.028,0.6,0.011,27,16
운중동,20191023,0.003,0.032,0.5,0.012,28,16
정자동,20191023,0.002,0.021,0.5,0.017,24,15
단대동,20191022,0.002,0.031,0.6,0.021,35,20
상대원동,20191022,0.003,0.034,0.6,0.017,39,19
복정동,20191022,0.003,0.041,0.8,0.014,43,22
성남대로,20191022,0.003,0.055,0.8,0.01,46,28
수내동,20191022,0.003,0.032,0.7,0.016,35,21
운중동,20191022,0.003,0.034,0.5,0.02,38,22
정자동,20191022,0.002,0.028,0.6,0.019,35,22
단대동,20191021,0.002,0.037,0.6,0.014,40,22
상대원동,20191021,0.003,0.041,0.7,0.011,46,22
복정동,20191021,0.003,0.042,0.8,0.011,46,24
성남대로,20191021,0.003,0.059,0.9,0.006,53,29
수내동,20191021,0.003,0.035,0.8,0.012,37,20
운중동,20191021,0.002,0.039,0.6,0.013,41,23
정자동,20191021,0.002,0.034,0.7,0.014,38,21
단대동,20191020,0.002,0.022,0.6,0.024,32,17
상대원동,20191020,0.002,0.026,0.6,0.019,33,18
복정동,20191020,0.002,0.032,0.7,0.016,37,21
성남대로,20191020,0.002,0.043,0.8,0.01,42,23
수내동,20191020,0.002,0.027,0.7,0.014,30,16
운중동,20191020,0.003,0.029,0.6,0.016,37,22
정자동,20191020,0.002,0.02,0.6,0.019,31,19
단대동,20191019,0.002,0.025,0.5,0.021,25,8
상대원동,20191019,0.002,0.031,0.6,0.017,29,10
복정동,20191019,0.002,0.028,0.5,0.018,28,12
성남대로,20191019,0.003,0.05,0.7,0.009,34,16
수내동,20191019,0.003,0.03,0.6,0.012,23,11
운중동,20191019,0.004,0.029,0.4,0.016,26,13
정자동,20191019,0.002,0.02,0.5,0.019,21,10
단대동,20191018,0.002,0.018,0.4,0.022,18,7
상대원동,20191018,0.002,0.028,0.5,0.015,25,9
복정동,20191018,0.001,0.022,0.5,0.018,22,9
성남대로,20191018,0.002,0.034,0.6,0.014,27,14
수내동,20191018,0.003,0.029,0.6,0.01,22,12
운중동,20191018,0.002,0.027,0.4,0.014,21,11
정자동,20191018,0.002,0.023,0.5,0.014,19,11
단대동,20191017,0.003,0.028,0.5,0.019,31,15
상대원동,20191017,0.002,0.035,0.6,0.014,31,16
복정동,20191017,0.003,0.035,0.6,0.013,37,17
성남대로,20191017,0.004,0.05,0.8,0.009,42,23
수내동,20191017,0.002,,,,30,17
운중동,20191017,0.002,0.034,0.5,0.014,32,18
정자동,20191017,0.002,0.026,0.5,0.016,30,17
단대동,20191016,0.003,0.036,0.6,0.012,30,13
상대원동,20191016,0.002,0.04,0.6,0.01,34,14
복정동,20191016,0.002,0.037,0.6,0.012,33,14
성남대로,20191016,0.003,0.05,0.7,0.008,38,21
수내동,20191016,0.002,,,,26,13
운중동,20191016,0.003,0.035,0.5,0.012,30,14
정자동,20191016,0.002,0.032,0.5,0.009,26,14
단대동,20191015,0.002,0.022,0.4,0.018,25,9
상대원동,20191015,0.003,,0.5,0.014,53,11
복정동,20191015,0.002,0.026,0.5,0.015,28,10
성남대로,20191015,0.005,0.041,0.7,0.01,35,14
수내동,20191015,0.003,0.025,0.6,0.012,23,11
운중동,20191015,0.002,0.026,0.4,0.014,22,8
정자동,20191015,0.002,0.022,0.4,0.016,24,10
단대동,20191014,0.003,0.027,0.5,0.013,36,15
상대원동,20191014,0.003,0.031,0.6,0.016,41,16
복정동,20191014,0.001,0.027,0.6,0.017,38,15
성남대로,20191014,0.004,0.041,0.7,0.012,41,20
수내동,20191014,0.003,0.024,0.6,0.015,33,14
운중동,20191014,0.002,0.024,0.5,0.02,36,14
정자동,20191014,0.002,0.023,0.5,0.017,34,15
단대동,20191013,0.002,0.01,0.3,0.033,21,7
상대원동,20191013,0.002,0.019,0.5,0.024,32,9
복정동,20191013,0.002,0.016,0.4,0.026,25,9
성남대로,20191013,0.003,0.033,0.6,0.016,29,12
수내동,20191013,0.002,0.017,0.5,0.019,22,10
운중동,20191013,0.002,0.016,0.3,0.025,22,10
정자동,20191013,0.002,0.009,0.3,0.027,20,9
단대동,20191012,0.002,0.006,0.3,0.041,25,8
상대원동,20191012,0.003,0.014,0.4,0.032,28,10
복정동,20191012,0.002,0.008,0.4,0.038,29,10
성남대로,20191012,0.003,0.018,0.5,0.031,30,13
수내동,20191012,0.002,0.014,0.5,0.027,26,12
운중동,20191012,0.002,0.01,0.3,0.038,29,11
정자동,20191012,0.002,0.006,0.3,0.035,28,11
단대동,20191011,0.002,0.022,0.6,0.027,34,15
상대원동,20191011,0.003,0.029,0.7,0.021,37,18
복정동,20191011,0.002,0.024,0.6,0.024,38,18
성남대로,20191011,0.003,0.038,0.7,0.016,44,23
수내동,20191011,0.003,0.026,0.7,0.017,36,19
운중동,20191011,0.003,0.028,0.5,0.022,38,21
정자동,20191011,0.002,0.025,0.5,0.019,35,18
단대동,20191010,0.003,0.036,0.6,0.006,32,13
상대원동,20191010,0.003,0.039,0.6,0.007,32,14
복정동,20191010,0.002,0.04,0.7,0.006,36,15
성남대로,20191010,0.005,0.05,0.8,0.004,41,19
수내동,20191010,0.003,0.03,0.7,0.006,28,14
운중동,20191010,0.004,0.038,0.6,0.007,32,15
정자동,20191010,0.002,0.031,0.5,0.007,28,14
단대동,20191009,0.003,0.026,0.4,0.015,27,7
상대원동,20191009,0.003,0.033,0.6,0.011,28,11
복정동,20191009,0.003,0.042,0.5,0.012,30,12
성남대로,20191009,0.005,0.044,0.7,0.007,35,15
수내동,20191009,0.003,0.026,0.6,0.005,25,11
운중동,20191009,0.002,0.028,0.4,0.014,26,10
정자동,20191009,0.002,0.023,0.4,0.013,24,10
단대동,20191008,0.002,0.02,0.4,0.02,24,7
상대원동,20191008,0.003,0.028,0.5,0.014,27,
복정동,20191008,0.002,0.035,0.4,0.016,26,8
성남대로,20191008,0.004,0.037,0.6,0.011,30,13
수내동,20191008,0.002,0.024,0.5,0.006,23,7
운중동,20191008,0.002,0.021,0.4,0.02,24,9
정자동,20191008,0.002,0.02,0.4,0.016,,8
상대원동,20191007,0.002,0.026,0.5,0.009,14,6
복정동,20191007,0.003,0.023,0.4,0.012,15,6
단대동,20191007,0.002,0.016,0.4,0.015,11,3
성남대로,20191007,0.003,0.028,0.6,0.008,17,9
수내동,20191007,,,,,,
운중동,20191007,0.003,0.022,0.4,0.012,11,6
정자동,20191007,0.002,0.018,0.5,0.012,9,6
상대원동,20191006,0.002,0.012,0.5,0.027,14,4
복정동,20191006,0.003,0.018,0.3,0.031,15,5
단대동,20191006,0.002,0.005,0.3,0.035,12,3
성남대로,20191006,0.003,0.02,0.4,0.021,18,8
수내동,20191006,,,,,,
운중동,20191006,0.002,0.012,0.3,0.027,13,6
정자동,20191006,0.002,0.006,0.4,0.03,12,5
상대원동,20191005,0.002,0.018,0.6,0.021,45,24
